time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,temp,pressure,acc_x_adxl,acc_y_adxl,acc_y_adxl,status,sd_file
2185492287,1041,1,36,3,-14,7,40.98075867,23.58651733,-6.334579468,23.47524071,95315.84375,-12,5,-8,31,1
2185501832,1047,-2,38,8,-13,9,40.08074951,25.68650818,-6.484573364,23.47524071,95313.39844,-13,4,-7,31,1
2185511494,1034,-3,11,7,-13,7,40.08074951,25.68650818,-6.484573364,23.48460388,95317.96094,-14,6,-8,31,1
2185521422,1043,10,61,1,-14,6,40.08074951,25.68650818,-6.484573364,23.47992325,95319.34375,-13,4,-8,31,1
2185531082,1047,13,9,-1,-13,6,42.03074646,24.93650818,-5.734573364,23.47524071,95325.61719,-13,4,-7,31,1
2185540623,1041,10,41,2,-13,7,40.23075867,26.28651428,-5.88458252,23.48460388,95310.625,-13,5,-8,31,1
2185550290,1049,-1,1,-2,-16,9,40.23075867,26.28651428,-5.88458252,23.47524071,95323.17188,-14,4,-8,31,1
2185559951,1038,0,17,-2,-13,8,40.08074951,23.73651123,-5.434585571,23.48460388,95320.40625,-12,5,-6,31,1
2185569874,1057,-7,36,-3,-13,7,41.43075562,24.78651428,-6.63458252,23.47524071,95323.17188,-13,4,-8,31,1
2185579426,1030,3,45,-4,-16,6,41.43075562,24.78651428,-6.63458252,23.47992325,95302.22656,-13,4,-8,31,1
2185589123,1054,4,-4,3,-12,9,40.83074951,24.93650818,-7.234573364,23.48928642,95321.46094,-13,6,-7,31,1
2185598790,1034,0,66,-5,-15,6,40.53074646,24.93650818,-6.934585571,23.47055817,95309.89063,-14,6,-7,31,1
2185608332,1066,-8,-18,11,-11,11,39.93075562,24.33651733,-6.63458252,23.47992325,95316.89844,-14,4,-9,31,1
2185618254,1012,-29,94,-3,-18,5,39.93075562,24.33651733,-6.63458252,23.47524071,95323.17188,-13,4,-8,31,1
2185627920,1062,-4,37,13,-12,11,39.93075562,23.88652039,-4.834579468,23.47055817,95307.44531,-14,6,-10,31,1
2185637581,1009,7,-20,1,-15,-1,41.73075867,23.13652039,-7.38458252,23.47524071,95320.73438,-13,4,-8,31,1
2185647128,1091,25,126,14,-15,16,40.53074646,25.38652039,-4.684585571,23.47992325,95304.67188,-14,4,-9,31,1
2185656789,1060,25,-81,18,-7,0,40.53074646,25.38652039,-4.684585571,23.47524071,95342.73438,-14,4,-9,31,1
2185666712,1065,42,91,30,-20,24,40.53074646,24.93650818,-5.734573364,23.47992325,95329.125,-12,6,-9,31,1
2185676385,1269,-26,175,76,-23,23,40.68075562,23.58651733,-8.13458252,23.46587563,95330.83594,-16,5,-11,31,1
2185685926,2856,-170,387,55,-38,-1,40.08074951,23.73651123,-5.734573364,23.47055817,95334.34375,-23,6,-10,31,1
2185695593,8791,-208,277,15,10,5,40.08074951,23.73651123,-5.734573364,23.47055817,95393.02344,-109,5,-7,31,1
2185705516,9550,-213,-148,-26,22,-47,40.23075867,25.08651733,-5.584579468,23.47524071,95496.77344,-172,13,7,63,1
2185715177,10218,-193,1278,-57,-96,-102,39.03074646,23.43650818,-4.684585571,23.47992325,95297.33594,-182,10,-21,31,1
2185724723,10591,121,139,-615,-29,-86,39.03074646,23.43650818,-4.684585571,23.48460388,95247.05469,-193,6,-8,31,1
2185734384,11152,595,361,-518,-3,-146,39.03074646,23.43650818,-4.684585571,23.47524071,95279.16406,-201,-4,18,31,1
2185744045,11482,578,-1285,-265,-67,-56,39.78074646,24.93650818,-4.234573364,23.47055817,95290.33594,-214,-7,6,31,1
2185753972,11282,521,-557,-138,-9,-39,40.53074646,24.93650818,-3.63458252,23.47524071,95293.83594,-209,-14,-30,31,1
2185763513,11441,281,-120,41,-108,69,40.53074646,24.93650818,-3.63458252,23.47524071,95274.27344,-213,-5,3,31,1
2185773187,11531,26,-521,531,105,60,37.83074951,26.88652039,-1.38458252,23.47524071,95271.82813,-208,1,-27,31,1
2185782847,11929,36,342,578,22,85,36.63075256,24.78651428,-2.284576416,23.47992325,95292.44531,-225,7,-1,31,1
2185792388,11812,-519,1895,581,91,55,36.63075256,24.33651733,-3.334579468,23.47992325,95292.44531,-219,11,-13,31,1
2185802054,11792,-398,693,502,131,36,36.63075256,24.33651733,-3.334579468,23.47524071,95266.9375,-220,21,28,31,1
2185811976,12322,-220,640,199,-90,-45,34.08074951,24.48651123,-7.234573364,23.47992325,95294.89063,-224,10,4,31,1
2185821642,12717,93,-135,44,-337,-44,40.98075867,23.88652039,-8.13458252,23.48460388,95288.61719,-235,4,-15,31,1
2185831183,12794,433,-1010,55,-58,-84,40.83074951,26.43650818,-1.38458252,23.47055817,95278.10938,-236,-1,-8,31,1
2185840844,12628,925,24,217,-193,-49,40.83074951,26.43650818,-1.38458252,23.47992325,95275.33594,-233,-9,-28,31,1
2185850772,12943,1147,-1887,347,16,19,38.58074951,26.13652039,0.415420532,23.47992325,95265.55469,-244,-2,-30,31,1
2185860433,12757,532,-1070,119,90,6,37.83074951,28.38652039,3.715423584,23.48460388,95261.71875,-236,-6,1,31,1
2185869983,12895,263,-150,-25,91,47,37.83074951,28.38652039,3.715423584,23.47992325,95265.55469,-236,-6,1,31,1
2185879647,12883,106,-730,-242,109,27,31.53074646,31.08651733,3.715423584,23.47524071,95264.49219,-240,-3,-13,31,1
2185889308,13273,-351,531,-379,-1,18,29.88075256,27.03651428,-1.984573364,23.47992325,95253.32813,-248,-3,8,31,1
2185899235,13609,342,292,-192,-68,4,29.88075256,25.08651733,-11.58457947,23.47524071,95257.16406,-249,-3,-6,31,1
2185908777,13812,-49,-569,-152,-5,25,29.88075256,25.08651733,-11.58457947,23.48460388,95264.16406,-259,11,13,31,1
2185918438,13946,633,67,-236,-141,6,32.88075256,21.18650818,-22.23457336,23.47055817,95253.65625,-259,-4,-23,31,1
2185928105,13994,834,-192,-186,-65,28,33.03074646,21.48651123,-24.33457947,23.48928642,95262.78125,-259,6,-23,31,1
2185937645,13980,-59,-1980,-75,155,50,33.03074646,21.48651123,-24.33457947,23.47524071,95227.82031,-259,-7,-38,31,1
2185947573,14477,184,1051,-394,27,41,33.03074646,21.48651123,-24.33457947,23.47524071,95230.26563,-267,-2,-14,31,1
2185957234,14455,405,-557,-210,52,44,29.43075562,19.68650818,-32.13458252,23.48460388,95215.26563,-268,11,-16,31,1
2185966896,14324,197,-1374,-163,10,-30,28.38075256,18.93650818,-45.33457947,23.47055817,95209.64844,-271,2,-5,31,1
2185976449,14856,275,2212,-356,19,74,35.88075256,16.38652039,-66.93457031,23.47524071,95220.48438,-274,-10,-35,31,1
2185986112,14521,818,-3208,116,70,-34,35.88075256,16.38652039,-66.93457031,23.47524071,95205.8125,-271,13,7,31,1
2185996039,15109,-187,2831,-439,-31,80,64.83074951,3.636520386,-45.33457947,23.48928642,95208.99219,-280,-3,-56,31,1
2186005701,14946,194,-1328,-207,30,-8,47.73075867,25.08651733,-1.984573364,23.47524071,95174.03125,-281,5,15,31,1
2186015242,15398,192,957,-116,20,4,42.63075256,27.18650818,0.415420532,23.48928642,95164.97656,-283,15,-19,31,1
2186024908,15311,-128,-538,-94,50,-25,42.63075256,27.18650818,0.415420532,23.48928642,95191.875,-288,0,1,31,1
2186034831,15567,53,816,-134,41,-42,39.48075867,28.23651123,-0.484573364,23.47992325,95160.42188,-288,9,-19,31,1
2186044492,15547,196,-571,-80,106,-41,38.43075562,28.53651428,2.815414429,23.47992325,95145.75,-290,4,-4,31,1
2186054038,15692,-44,353,-138,85,-82,38.43075562,28.53651428,2.815414429,23.47992325,95175.08594,-292,5,-11,31,1
2186063700,15862,86,104,-124,114,-74,38.28074646,27.63652039,-1.38458252,23.47992325,95160.42188,-293,5,-8,31,1
2186073372,15879,114,-249,-126,149,-108,38.73075867,28.53651428,0.265426636,23.47524071,95132.46875,-296,6,-5,31,1
2186083294,16011,-13,390,-155,132,-115,37.83074951,26.43650818,0.11541748,23.47992325,95135.96875,-298,6,-14,31,1
2186092835,16063,98,-132,-134,181,-134,37.83074951,26.43650818,0.11541748,23.48928642,95135.64063,-301,8,-4,31,1
2186102502,16174,11,85,-168,177,-138,37.83074951,27.18650818,-0.63458252,23.47524071,95105.57031,-304,6,-11,31,1
2186112163,16232,23,71,-177,204,-168,36.18075562,28.53651428,0.565414429,23.47524071,95110.46094,-303,8,-9,31,1
2186121709,16297,90,65,-176,227,-182,37.53074646,28.38652039,-0.334579468,23.47992325,95099.29688,-306,6,-7,31,1
2186131632,16425,1,220,-204,235,-200,37.53074646,28.38652039,-0.334579468,23.47055817,95080.07031,-307,5,-12,31,1
2186141293,16500,62,-58,-203,260,-224,38.28074646,28.38652039,-0.63458252,23.47992325,95087.07031,-310,7,-9,31,1
2186150959,16551,66,60,-225,271,-233,38.28074646,28.38652039,-0.63458252,23.47524071,95051.78906,-310,6,-11,31,1
2186160500,16597,21,90,-238,292,-259,38.43075562,29.73651123,-0.784576416,23.47524071,95054.23438,-309,6,-12,31,1
2186170170,16637,66,0,-248,308,-269,38.43075562,29.73651123,-0.784576416,23.47524071,95046.89844,-309,6,-12,31,1
2186180098,16697,32,65,-259,329,-289,37.53074646,29.88652039,-1.684585571,23.47992325,95030.83594,-312,7,-7,31,1
2186189759,16783,30,85,-276,338,-308,37.83074951,28.08651733,-1.084579468,23.47055817,95018.94531,-314,6,-8,31,1
2186199304,16831,39,-14,-287,360,-319,37.83074951,28.08651733,-1.084579468,23.47524071,95000.44531,-315,7,-9,31,1
2186208966,16854,33,35,-306,372,-338,36.78074646,31.53651428,-2.13458252,23.47524071,94993.10938,-314,7,-7,31,1
2186218628,16936,21,40,-320,386,-349,37.53074646,29.88652039,-2.13458252,23.47992325,94986.82813,-317,7,-11,31,1
2186228555,16986,23,39,-338,402,-365,36.78074646,30.33651733,-1.084579468,23.47055817,94967.60156,-318,7,-9,31,1
2186238097,16963,25,-1,-354,413,-380,36.78074646,30.33651733,-1.084579468,23.46587563,94954.32813,-317,6,-11,31,1
2186247758,17061,6,85,-372,425,-391,37.08074951,30.33651733,-2.88458252,23.47992325,94940.375,-318,7,-8,31,1
2186257424,17132,27,3,-385,435,-407,35.28074646,29.13652039,-4.234573364,23.47055817,94943.15625,-320,7,-9,31,1
2186266973,17203,26,34,-399,445,-415,35.88075256,31.23651123,-3.334579468,23.47524071,94924.65625,-320,7,-9,31,1
2186276902,17275,-25,66,-415,452,-426,35.88075256,31.23651123,-3.334579468,23.46587563,94912.76563,-321,8,-7,31,1
2186286563,17304,2,-25,-422,460,-435,35.43075562,30.48651123,-4.534576416,23.47524071,94907.53906,-323,6,-10,31,1
2186296224,17355,-5,122,-437,457,-441,36.18075562,31.23651123,-5.284576416,23.47992325,94918.375,-323,7,-11,31,1
2186305770,17383,1,-1,-439,460,-448,35.28074646,30.78651428,-5.434585571,23.47055817,94918.71094,-324,7,-8,31,1
2186315431,17436,-16,63,-443,457,-449,35.28074646,30.78651428,-5.434585571,23.47055817,94894.25781,-326,7,-11,31,1
2186325359,17475,-23,-1,-443,453,-454,35.43075562,31.68650818,-6.63458252,23.47992325,94859.69531,-326,8,-8,31,1
2186335020,17537,-30,77,-452,443,-454,34.53074646,32.28651428,-6.934585571,23.47055817,94838.03125,-326,8,-9,31,1
2186344561,17596,17,-33,-457,435,-448,36.03074646,33.03651428,-5.734573364,23.47524071,94858.64063,-329,8,-8,31,1
2186354228,17649,-30,60,-463,422,-443,36.03074646,33.03651428,-5.734573364,23.47055817,94840.47656,-329,6,-11,31,1
2186363897,17722,-12,19,-467,413,-429,36.03074646,33.03651428,-5.734573364,23.46587563,94795.41406,-328,6,-9,31,1
2186373825,17724,-19,-39,-477,403,-427,35.28074646,32.58651733,-6.184585571,23.47055817,94791.57813,-331,8,-7,31,1
2186383366,17771,-22,87,-485,380,-412,35.28074646,32.58651733,-6.184585571,23.47992325,94776.57031,-329,7,-11,31,1
2186393027,17813,-25,20,-491,367,-400,35.13075256,33.18650818,-6.334579468,23.47055817,94759.79688,-332,8,-8,31,1
2186402693,17901,-32,-20,-511,339,-381,35.28074646,33.03651428,-8.284576416,23.47524071,94775.51563,-334,7,-8,31,1
2186412235,17970,-23,76,-541,310,-361,35.28074646,33.48651123,-8.88458252,23.47524071,94770.63281,-334,8,-12,31,1
2186422157,18025,-19,-122,-563,293,-338,35.28074646,33.48651123,-8.88458252,23.46587563,94722.07031,-337,7,-8,31,1
2186431823,18077,-35,40,-604,250,-316,35.13075256,34.38652039,-8.734573364,23.47524071,94680.17188,-337,8,-9,31,1
2186441484,18146,-47,39,-632,219,-292,33.93075562,34.08651733,-9.784576416,23.47524071,94694.84375,-338,7,-12,31,1
2186451031,18169,-22,-59,-668,181,-267,33.93075562,34.38652039,-9.484573364,23.47524071,94675.28125,-339,8,-9,31,1
2186460699,18223,-40,9,-710,144,-240,33.93075562,34.38652039,-9.484573364,23.47992325,94664.10938,-339,8,-9,31,1
2186470622,18296,-33,-88,-750,100,-213,33.93075562,35.58651733,-9.784576416,23.47524071,94643.5,-340,7,-10,31,1
2186480288,18360,-78,160,-802,53,-184,32.28074646,33.03651428,-11.13458252,23.46587563,94604.72656,-340,7,-9,31,1
2186489829,18366,-39,-156,-827,7,-160,34.08074951,34.53651428,-10.38458252,23.47055817,94578.89063,-343,7,-14,31,1
2186499496,18459,-48,57,-893,-42,-127,34.08074951,34.53651428,-10.38458252,23.47524071,94560.38281,-343,8,-9,31,1
2186509157,18518,-45,-13,-930,-94,-104,34.08074951,33.78651428,-11.43457031,23.47524071,94526.15625,-345,9,-9,31,1
2186519079,18615,-50,-92,-993,-136,-74,33.78074646,34.53651428,-11.88458252,23.47524071,94535.9375,-347,7,-12,31,1
2186528625,18669,-52,54,-1027,-194,-53,33.78074646,34.53651428,-11.88458252,23.47524071,94479.71094,-347,9,-8,31,1
2186538286,18641,-53,-107,-1083,-230,-26,32.58074951,33.48651123,-11.13458252,23.47524071,94447.92969,-347,9,-8,31,1
2186547947,18729,-69,36,-1102,-286,-7,33.03074646,34.53651428,-13.23457336,23.46119308,94403.21875,-348,9,-11,31,1
2186557502,18803,-50,-70,-1147,-325,15,32.43075562,35.58651733,-12.03457642,23.47524071,94364.8125,-352,8,-8,31,1
2186567424,18860,-49,-9,-1138,-374,29,32.43075562,35.58651733,-12.03457642,23.47055817,94331.98438,-352,8,-13,31,1
2186577091,18923,-80,49,-1197,-403,42,32.43075562,35.58651733,-12.03457642,23.47055817,94305.09375,-353,8,-11,31,1
2186586752,18994,-90,-147,-1163,-434,51,32.13075256,31.68650818,-12.78457642,23.47055817,94278.20313,-354,8,-9,31,1
2186596293,19061,-68,84,-1206,-474,55,34.68075562,33.63652039,-13.53457642,23.47524071,94264.57813,-354,8,-12,31,1
2186606221,19078,-62,-132,-1173,-489,70,34.68075562,33.63652039,-13.53457642,23.47055817,94214.64063,-356,9,-7,31,1
2186615883,19192,-95,25,-1249,-514,65,32.88075256,33.63652039,-13.08457947,23.47055817,94177.97656,-358,7,-13,31,1
2186625549,19253,-66,17,-1237,-522,73,33.03074646,33.48651123,-14.73457336,23.47524071,94139.90625,-359,9,-11,31,1
2186635090,19301,-98,-115,-1313,-533,66,33.33074951,32.28651428,-15.18457031,23.46587563,94093.8125,-360,9,-11,31,1
2186644752,19338,-58,16,-1321,-534,70,33.33074951,32.28651428,-15.18457031,23.47055817,94063.08594,-360,10,-11,31,1
2186654689,19410,-51,23,-1360,-545,63,32.88075256,32.88652039,-14.88458252,23.47524071,94029.90625,-362,10,-9,31,1
2186664349,19465,-82,-90,-1423,-534,68,33.93075562,31.68650818,-14.88458252,23.47524071,93976.125,-364,9,-9,31,1
2186673895,19513,-64,46,-1475,-539,61,33.93075562,31.68650818,-14.88458252,23.47055817,93943.30469,-365,9,-12,31,1
2186683556,19564,-79,-50,-1527,-514,60,33.18075562,32.13652039,-14.28457642,23.46587563,93883.59375,-365,8,-9,31,1
2186693218,19648,-59,88,-1582,-509,58,34.83074951,30.78651428,-15.48457336,23.47524071,93841.6875,-367,8,-11,31,1
2186703146,19715,-69,-30,-1629,-479,52,33.93075562,30.93650818,-16.08457947,23.46587563,93805.375,-369,8,-10,31,1
2186712687,19766,-95,-57,-1686,-461,52,33.93075562,30.93650818,-16.08457947,23.47524071,93765.90625,-370,7,-10,31,1
2186722348,19878,-69,79,-1739,-439,49,36.18075562,30.93650818,-14.58457947,23.46587563,93719.82813,-373,9,-10,31,1
2186732014,19919,-33,50,-1799,-407,46,35.13075256,29.43650818,-17.13458252,23.46587563,93670.9375,-372,8,-12,31,1
2186741555,19989,-65,-65,-1843,-365,45,34.38075256,29.73651123,-16.38458252,23.47524071,93653.46875,-375,8,-8,31,1
2186751482,20019,-50,23,-1886,-333,42,34.38075256,29.73651123,-16.38458252,23.47055817,93603.53906,-375,8,-8,31,1
2186761149,20073,-59,88,-1957,-307,40,35.13075256,30.48651123,-16.38458252,23.47055817,93552.21094,-374,8,-9,31,1
2186770811,20164,-40,-99,-1958,-244,44,35.88075256,29.43650818,-17.43457031,23.46587563,93504.72656,-375,9,-11,31,1
2186780357,20236,-53,187,-2055,-221,40,35.88075256,29.43650818,-17.43457031,23.46587563,93468.07031,-378,10,-9,31,1
2186790018,20299,-19,-74,-2066,-148,51,35.88075256,29.43650818,-17.43457031,23.47055817,93420.22656,-377,9,-11,31,1
2186799946,20395,-62,29,-2141,-142,52,34.38075256,27.48651123,-18.18457031,23.47524071,93377.26563,-379,7,-8,31,1
2186809606,20423,-67,221,-2175,-90,65,36.03074646,27.18650818,-19.83457947,23.46587563,93331.19531,-381,9,-10,31,1
2186819147,20471,2,-141,-2234,-42,71,34.53074646,26.13652039,-18.78457642,23.46587563,93292.08594,-382,9,-8,31,1
2186828814,20597,-61,166,-2275,-20,86,34.53074646,26.13652039,-18.78457642,23.46587563,93245.64844,-383,7,-12,31,1
2186838474,20600,-15,17,-2326,22,98,35.58074951,25.38652039,-20.28457642,23.47055817,93210.02344,-384,7,-10,31,1
2186848397,20584,-10,6,-2376,59,113,34.38075256,26.28651428,-20.13458252,23.46587563,93160.10938,-384,8,-9,31,1
2186857952,20694,-52,173,-2441,87,126,34.38075256,26.28651428,-20.13458252,23.46587563,93111.22656,-386,7,-11,31,1
2186867648,20726,31,-126,-2496,130,140,35.28074646,24.18650818,-22.08457947,23.46119308,93073.52344,-387,8,-10,31,1
2186877315,20837,-57,198,-2574,141,151,35.43075562,22.83651733,-21.93457031,23.47055817,93051.15625,-386,7,-11,31,1
2186886856,20869,10,19,-2635,170,166,35.13075256,20.88652039,-21.48457336,23.47055817,93019.38281,-389,7,-11,31,1
2186896778,20895,-23,-3,-2715,175,181,35.13075256,20.88652039,-21.48457336,23.47055817,92980.28125,-390,7,-11,31,1
2186906444,20989,5,-164,-2751,210,194,33.63075256,20.43650818,-22.98457336,23.46587563,92935.25781,-390,7,-7,31,1
2186916142,21008,24,158,-2868,192,213,34.38075256,21.18650818,-24.03457642,23.46587563,92891.26563,-393,6,-14,31,1
2186925688,21069,55,-209,-2882,215,224,34.83074951,18.78651428,-25.68457031,23.47055817,92858.07813,-392,7,-9,31,1
2186935349,21220,16,27,-2958,201,231,34.83074951,18.78651428,-25.68457031,23.46587563,92808.17188,-394,6,-12,31,1
2186945272,21194,27,58,-3048,195,239,35.28074646,17.58651733,-27.18457031,23.47524071,92763.79688,-394,8,-12,31,1
2186954938,21255,130,-247,-3124,166,232,36.33074951,14.28651428,-26.43457031,23.46587563,92712.85938,-395,7,-9,31,1
2186964486,21300,121,44,-3256,137,245,34.38075256,15.18652344,-26.58457947,23.47055817,92647.90625,-396,5,-14,31,1
2186974147,21260,88,-218,-3343,133,239,34.38075256,15.18652344,-26.58457947,23.46119308,92594.51563,-396,6,-9,31,1
2186984075,21405,62,-71,-3446,105,236,35.43075562,12.93652344,-27.03457642,23.47524071,92538.96094,-399,9,-9,31,1
2186993736,21414,125,38,-3517,62,238,35.43075562,12.93652344,-27.03457642,23.48460388,92492.14063,-398,5,-9,31,1
2187003282,21423,254,-213,-3592,81,246,35.43075562,12.93652344,-27.03457642,23.47055817,92425.51563,-399,7,-14,31,1
2187012943,21490,204,-280,-3676,92,253,35.88075256,11.28651428,-28.08457947,23.47055817,92376.63281,-400,5,-13,31,1
2187022605,21493,191,9,-3784,72,254,34.53074646,9.636520386,-27.18457031,23.47524071,92338.5625,-400,2,-18,31,1
2187032533,21543,364,-517,-3828,85,266,33.63075256,8.286514282,-28.83457947,23.47055817,92281.32813,-403,4,-11,31,1
2187042074,21598,260,-212,-3937,74,261,33.63075256,8.286514282,-28.83457947,23.46587563,92211.875,-403,4,-11,31,1
2187051735,21649,322,39,-4044,77,260,34.38075256,6.336517334,-28.53457642,23.47055817,92137.14844,-402,1,-16,31,1
2187061407,21652,381,-577,-4110,130,251,34.68075562,2.436523438,-27.03457642,23.47055817,92080.94531,-404,3,-21,31,1
2187070949,21751,305,-250,-4251,85,229,33.63075256,-0.26348877,-27.78457642,23.47055817,92007.63281,-405,2,-15,31,1
2187080877,21789,432,-61,-4401,122,229,33.63075256,-0.26348877,-27.78457642,23.46587563,91935.74219,-405,-6,-14,31,1
2187090538,21942,555,-472,-4510,167,237,35.43075562,-1.01348877,-27.03457642,23.46587563,91864.88281,-404,-1,-20,31,1
2187100199,-1585,-1352,-7333,-1532,767,1188,35.58074951,-3.563476563,-27.18457031,23.47524071,91434.42969,-1371,-40,-134,31,1
2187109745,-2262,5108,1217,1532,-622,1344,32.43075562,-8.813476563,-23.73457336,23.47055817,91702.1875,174,-884,815,31,1
2187119406,-4119,3324,-4850,-4772,-77,12,32.43075562,-8.813476563,-23.73457336,23.46587563,91923.53125,56,-57,149,63,1
2187129333,-2929,-3770,1646,-1765,497,-371,31.68075562,-9.563476563,-25.53457642,23.47055817,91812.14844,13,83,42,63,1
2187138994,-463,1739,-3629,3797,-205,-1391,32.43075562,-9.563476563,-24.03457642,23.47524071,91798.50781,76,17,64,63,1
2187148536,-4740,-3034,2200,2502,-18,-1329,33.33074951,-8.963485718,-24.93457031,23.47055817,91765.71875,12,-84,40,31,1
2187158210,-2130,3459,-1382,-617,-549,1142,33.33074951,-8.963485718,-24.93457031,23.46587563,91662.07031,69,-15,-20,31,1
2187167870,-2248,1712,-8222,-2101,-1372,1148,32.58074951,-7.463485718,-24.33457947,23.46587563,91669.39844,17,-29,2,63,1
2187177797,-1377,1097,-10309,-6612,9,434,32.43075562,-8.813476563,-24.78457642,23.47055817,91807.25781,6,-3,70,63,1
2187187338,-1485,-1261,4591,-8514,-69,-408,32.43075562,-8.813476563,-24.78457642,23.47055817,91736.39844,33,14,-68,63,1
2187196999,-1525,774,-1115,-8792,507,-680,33.33074951,-11.66348267,-22.83457947,23.46587563,91671.84375,33,2,-18,63,1
2187206665,-646,631,-636,-9798,933,-831,33.33074951,-11.66348267,-22.83457947,23.47055817,91653.32031,27,-8,19,63,1
2187216207,-4258,-583,-4868,-10323,1000,-735,34.38075256,-13.76348877,-20.13458252,23.46587563,91627.85938,29,-16,23,31,1
2187226129,-2125,37,-2862,-14168,346,-451,34.38075256,-13.76348877,-20.13458252,23.46587563,91539.89844,41,21,44,31,1
2187235795,-1304,-815,1073,-15148,70,-307,32.58074951,-19.01348877,-17.28457642,23.46587563,91696.28125,35,17,-49,31,1
2187245456,-846,-1875,654,-15827,12,-203,33.93075562,-21.11347961,-14.88458252,23.47055817,91917.21875,23,30,-21,63,1
2187255002,-3229,-439,-668,-16697,126,-274,34.83074951,-23.21348572,-8.88458252,23.46119308,91477.78906,62,21,-10,63,1
2187264670,-702,834,1200,-18253,464,-521,34.83074951,-23.21348572,-8.88458252,23.47055817,91528.70313,30,-25,-3,31,1
2187274593,-2441,-3081,-8166,-21662,579,-272,33.78074646,-25.61347961,-2.88458252,23.46119308,91443.58594,46,44,-32,31,1
2187284259,-1632,-2748,-2027,-23937,-175,228,33.78074646,-25.61347961,4.765426636,23.45651245,91437.67969,38,50,-15,31,1
2187293800,-1630,-2995,990,-24479,-847,64,34.38075256,-21.11347961,11.96542358,23.46587563,91618.08594,42,55,-51,31,1
2187303467,-1925,-2944,-2587,-23896,-872,-17,34.38075256,-21.11347961,11.96542358,23.46587563,91730.48438,40,64,-25,31,1
2187313129,-1728,-2655,-403,-24135,-1011,-20,33.78074646,-12.41348267,19.46542358,23.47992325,91757.99219,43,50,-40,31,1
2187323052,-1860,-2464,-1746,-24929,-1046,-79,33.18075562,-1.463485718,22.61541748,23.47055817,91721.73438,45,54,-45,31,1
2187332598,-1807,-2956,-1774,-25669,-1264,-221,33.18075562,-1.463485718,22.61541748,23.47055817,91675.3125,45,54,-45,31,1
2187342259,-1843,-2876,-1404,-26128,-1427,-488,32.28074646,10.83651733,20.51542664,23.46587563,91676.73438,43,63,-35,31,1
2187351921,-1765,-3121,-2844,-27481,-1439,-844,32.13075256,23.13652039,16.76542664,23.47055817,91731.50781,42,59,-51,31,1
2187361474,-1809,-3824,-3328,-29854,-1412,-1141,31.83074951,30.33651733,7.465423584,23.47055817,91738.84375,42,63,-64,31,1
2187371397,-1718,-4617,-3353,-32123,-1314,-1411,31.83074951,30.33651733,7.465423584,23.47055817,91726.625,44,77,-70,31,1
2187381063,-1901,-5212,-2865,-32740,-1223,-1620,30.63075256,34.83651733,-4.084579468,23.47992325,91677.35156,43,95,-73,31,1
2187390724,-2082,-5576,-2850,-32764,-1200,-1738,28.98075867,31.83651733,-17.28457642,23.47524071,91612.79688,47,106,-72,31,1
2187400265,-2254,-5400,-2873,-32546,-1233,-1797,29.28074646,18.33651733,-25.68457031,23.47524071,91539.49219,52,111,-59,31,1
2187409932,-2501,-5080,-2431,-32168,-1271,-1776,29.28074646,18.33651733,-25.68457031,23.47992325,91479.42969,52,105,-55,31,1
2187419593,-2943,-4885,-2255,-31079,-1159,-1684,29.28074646,18.33651733,-25.68457031,23.47055817,91416.30469,57,98,-52,31,1
2187429521,-3310,-4804,-1082,-29104,-1098,-1578,30.03074646,0.786514282,-28.23457336,23.47524071,91370.89844,66,95,-47,31,1
2187439062,-2852,-4531,-2622,-28170,-671,-1459,29.13075256,-13.76348877,-22.98457336,23.47992325,91362.14063,78,89,-46,31,1
2187448724,-6636,-2488,-4147,-28746,-54,-1381,29.13075256,-13.76348877,-22.98457336,23.47524071,90782.0625,47,90,-44,31,1
2187458397,-1102,-3341,-4698,-32561,563,-2286,32.28074646,-24.41348267,-12.63458252,23.47992325,90480.125,95,58,-108,31,1
2187468319,-2482,-6648,-4510,-32729,1610,-2822,34.83074951,-25.91348267,-0.63458252,23.48460388,90647.27344,42,114,-66,31,1
2187477865,-2888,-3489,-3185,-32701,2124,-2452,34.83074951,-25.91348267,-0.63458252,23.47992325,90719.55469,54,102,-63,31,1
2187487526,-3327,-5453,-2021,-32512,2154,-2041,35.58074951,-18.26348877,10.61541748,23.47992325,90719.55469,73,94,-90,31,1
2187497188,-3430,-3587,-2496,-31564,1696,-1245,35.58074951,-7.463485718,17.66542053,23.48460388,90723.00781,76,82,-80,31,1
2187507115,-2139,-3622,-3303,-31913,1869,-920,36.93075562,6.336517334,17.51542664,23.47524071,90742.96875,58,70,-75,31,1
2187516656,-2443,-4141,-5612,-32117,2041,-65,36.93075562,6.336517334,17.51542664,23.48928642,90069.26563,56,76,-81,31,1
2187526317,-8351,-1724,-6103,-32764,1801,332,36.63075256,18.48651123,10.46542358,23.47992325,89239.15625,139,53,-106,31,1
2187535983,-4912,-3468,-7095,-32764,1692,531,37.23075867,25.83651733,-0.034576416,23.47524071,89565.47656,98,76,-79,63,1
2187545524,-4439,-4463,-3365,-32764,1673,849,35.28074646,24.18650818,-12.18457031,23.47992325,89737.46875,93,94,-114,31,1
